SessionID,Location,babies_anchor,babies_code,babies_est,chicago_anchor,Chicago_code,chicago_est,everest_anchor,everest_code,everest_est,,Babies,,Chicago,,Everest,,,,,,,,,,,,,,,2.02107539
2477383,ithaca,lowanchor,1,3000,highanchor,2,2000000,highanchor,2,23000,,,,,,,,,,,,,,,,,,,,,
2477497,ithaca,highanchor,2,4000,lowanchor,1,250000,lowanchor,1,5000,,,,,,,,,,,,,,,,,,,,,
2477498,ithaca,lowanchor,1,,highanchor,2,3300000,lowanchor,1,,,,,,,,,,,,,,,,,,,,,,
2477501,ithaca,lowanchor,1,,highanchor,2,4000000,lowanchor,1,7000,,,,,,,,,,,,,,,,,,,,,
2477502,ithaca,highanchor,2,3000,highanchor,2,2500000,lowanchor,1,5000,,,,,,,,,,,,,,,,,,,,,
2477504,ithaca,lowanchor,1,,lowanchor,1,325000,lowanchor,1,7000,,,,,,,,,,,,,,,,,,,,,
2477506,ithaca,lowanchor,1,2500,lowanchor,1,300000,highanchor,2,30000,,,,,,,,,,,,,,,,,,,,,
2477509,ithaca,lowanchor,1,1700,lowanchor,1,300000,highanchor,2,45000,,,,,,,,,,,,,,,,,,,,,
2477515,ithaca,lowanchor,1,,lowanchor,1,250000,highanchor,2,32000,,,,,,,,,,,,,,,,,,,,,
2477516,ithaca,lowanchor,1,3000,lowanchor,1,250000,highanchor,2,45000,,,,,,,,,,,,,,,,,,,,,
,,,,,80,,,,,37,34,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,45,34,45,43,,,,,,,,,,,,,,,,
